id,address,lat,lng,location,name,subCategory,popularity,numReviews
42,13 rue Feutrier,48.88672522,2.34655402,Paris,Blue (Le),Nightclub,5,3
43,18 rue de Beaujolais,48.8230227,2.316179684,Paris,Soleil de Nuit,Nightclub,0,0
44,6 Rue Georges Desplas,48.84190919,2.355135083,Paris,Grande Mosquee de Paris,Mosque,6,29
45,Place de la Bastille,48.85319503,2.369055748,Paris,Place de la Bastille,Plaza,5,44
46,16 Rue du Repos,48.86132688,2.39420414,Paris,Cimetiere du Pere Lachaise,Cemetery,5,72
47,Place Dauphine,48.85663993,2.342362404,Paris,Place Dauphine,Plaza,8,7
48,Place du Palais Royal,48.86357138,2.337019444,Paris,Palais Royal,Historic Site,5,9
49,284 rue Saint-Honore,48.865181,2.332546,Paris,eglise Saint-Roch,Church,6,5
50,Place Saint-Sulpice,48.85087947,2.334251404,Paris,eglise Saint-Sulpice,Church,4,17
51,Avenue des Champs-elysees,48.86677561,2.316977978,Paris,Jardins des Champs-elysees,Garden,5,15
52,Pont des Arts,48.85846112,2.33756125,Paris,Pont des Arts,Bridge,6,39
53,49 Rue Monge,48.8450901,2.352887392,Paris,Arenes de Lutece,Historic Site,6,21
54,Place de Catalogne,48.83717452,2.318276167,Paris,Place de Catalogne,Plaza,3,6
55,Hotel des Invalides,48.85562343,2.312579155,Paris,Tombeau de Napoleon,Cemetery,3,13
56,60 Rue Reaumur,48.86572841,2.355480204,Paris,Musee des Arts et Metiers,Museum,5,30
57,53 Avenue Saint Maurice,48.83402278,2.419043097,Paris,Parc Zoologique de Vincennes,Zoo,6,4
58,12 Passage de Gergovie,48.8341381,2.311677811,Paris,Plaisance Prayer Room (Mosque),Spiritual Center,0,0
59,53 Rue Polonceau,48.886063,2.350199,Paris,Mosquee El-Fath,Mosque,0,0
60,Passerelle Simone de Beauvoir,48.83526428,2.378078699,Paris,Passerelle Simone de Beauvoir,Bridge,7,9
61,Place Georges Pompidou,48.86059281,2.35244751,Paris,Centre Pompidou - Musee National d'Art Moderne,Art Museum,6,218
62,88 Rue de l'Assomption,48.85570319,2.266787658,Paris,Notre-Dame de l'Assomption,Church,0,0
63,188 rue de Tolbiac,48.826182,2.350125,Paris,eglise Sainte-Anne de la Butte-aux-Cailles,Church,0,0
64,4 rue Saint Christophe,48.844636,2.279364,Paris,eglise Saint-Christophe de Javel,Church,0,0
65,Place du Cardinal Amette,48.850994,2.296472,Paris,eglise Saint-Leon,Church,0,0
66,122 rue de la Glaciere,48.82924835,2.343242256,Paris,eglise Albert le Grand,Church,0,0
67,Rue Ampere,48.88478,2.304994,Paris,eglise Saint-Franeois-de-Sales,Church,0,0
68,Boulevard de la Bastille,48.84984872,2.367403507,Paris,Port de l'Arsenal,Harbor / Marina,8,13
69,79 rue Alexandre Dumas,48.855161,2.397997,Paris,eglise Saint-Jean-Bosco,Church,0,0
70,52 Boulevard Lefebvre,48.829902,2.294455,Paris,eglise Saint-Antoine de Padoue,Church,5,1
71,7 rue Marie Rose,48.82611821,2.329000697,Paris,Chapelle des Franciscains,Spiritual Center,5,1
72,Avenue de la Porte du Pre Saint-Gervais,48.879222,2.402498,Paris,eglise de Marie-Mediatrice-de-Toutes-les-Greces,Church,0,0
